##NAMES=Spinel
##RRUFFID=R070013
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Bo Phloi, Kanchoutabori Province, Thailand
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black glassy fragment with conchoidal fracture
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been made only by X-ray diffraction.
##URL=rruff.info/R070013
##MEASURED CHEMISTRY=(Mg_0.69_Fe^2+^_0.31_)_Σ=1_(Al_1.90_Fe^3+^_0.10_)_Σ=2_O_4_ ; trace of Mn, Ti and Cr
##CELL PARAMETERS=a: 8.1297(1) b: 8.1297(1) c: 8.1297(1) alpha: 90 beta: 90 gamma: 90 volume: 537.31(2) crystal system: cubic
14.51000, 19.21950
14.52000, 9.227852
14.53000, 10.23621
14.54000, 9.244553
14.55000, 11.29947
14.56000, 21.30981
14.57000, 29.32015
14.58000, 2.669525
14.59000, 14.33961
14.60000, 45.34839
14.61000, 14.35713
14.62000, 17.36588
14.63000, 18.37460
14.64000, 13.38332
14.65000, 13.39203
14.66000, 21.40071
14.67000, 5.409378
14.68000, 18.41803
14.69000, 36.42665
14.70000, 23.43526
14.71000, 26.95721
14.72000, 22.96613
14.73000, 23.97504
14.74000, 7.983955
14.75000, 21.69209
14.76000, 25.70100
14.77000, 24.70993
14.78000, 12.88361
14.79000, 19.89256
14.80000, 33.63132
14.81000, 30.64022
14.82000, 31.64909
14.83000, 40.65791
14.84000, 20.66669
14.85000, 31.67542
14.86000, 10.68410
14.87000, 36.69275
14.88000, 14.70135
14.89000, 17.71105
14.90000, 11.72126
14.91000, 17.54739
14.92000, 5.556953
14.93000, 7.566467
14.94000, 38.57594
14.95000, 19.58538
14.96000, 22.20457
14.97000, 23.21390
14.98000, 10.22314
14.99000, 15.23232
15.00000, 1.241409
15.01000, 24.25040
15.02000, 27.25931
15.03000, 24.26813
15.04000, 34.27687
15.05000, 28.28554
15.06000, 33.29489
15.07000, 16.30338
15.08000, 7.311783
15.09000, 18.32011
15.10000, 20.32835
15.11000, 18.70282
15.12000, 19.71089
15.13000, 17.71885
15.14000, 29.72670
15.15000, 12.73447
15.16000, 16.74211
15.17000, 4.749672
15.18000, 7.705345
15.19000, 14.41018
15.20000, 25.42021
15.21000, 1.569847
15.22000, 23.43864
15.23000, 15.15090
15.24000, 40.16044
15.25000, 44.16990
