##NAMES=Schwertmannite
##RRUFFID=R220002
##IDEAL CHEMISTRY=Fe^3+^_16_O_16_(OH)_9.6_(S^6+^O_4_)_3.2_&#183;10H_2_O
##LOCALITY=A ditch in the Tinto river basin, SW Spain
##OWNER=Annika Parviainen
##SOURCE=Annika Parviainen
##DESCRIPTION=Sample LN-2 from Parviainen et al (2015). A crusty surface with a layered texture consisting of spherical aggregates exhibiting the three major phases schwertmannite, jarosite, and goethite
##DIFFRACTION SAMPLE DESCRIPTION=Powder, sharp peak is quartz
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R220002
10.02150, 12.81570
10.02990, 8.061279
10.03820, 12.78818
10.04660, 23.90561
10.05490, 8.674744
10.06330, 5.858795
10.07160, 5.937561
10.08000, 31.21268
10.08830, 10.56015
10.09670, 18.95715
10.10510, 31.83981
10.11340, 10.40643
10.12180, 14.74268
10.13010, 3.958618
10.13850, 9.653931
10.14680, 10.43112
10.15520, 4.947662
10.16350, 7.725922
10.17190, 8.363617
10.18030, 37.70065
10.18860, 14.89767
10.19700, 12.82425
10.20530, 9.030731
10.21370, 10.05655
10.22200, 19.04395
10.23040, 21.61887
10.23880, 18.41064
10.24710, 26.99582
10.25550, 2.640564
10.26380, 30.60474
10.27220, 6.250946
10.28050, 20.45667
10.28890, 4.649200
10.29720, 23.11414
10.30560, 6.076447
10.31400, 28.56232
10.32230, 0.9126280
10.33070, 20.92224
10.33900, 13.53784
10.34740, 19.40671
10.35570, 1.825165
10.36410, 12.75250
10.37240, 5.442566
10.38080, 13.42648
10.38920, 8.956207
10.39750, 26.02264
10.40590, 3.018646
10.41420, 22.45392
10.42260, 10.08865
10.43090, 12.85294
10.43930, 17.74670
10.44770, 24.97006
10.45600, 6.774506
10.46440, 12.05954
10.47270, 30.32413
10.48110, 15.25830
10.48940, 32.74203
10.49780, 13.22388
10.50610, 8.036835
10.51450, 16.42148
10.52290, 35.84348
10.53120, 5.757568
10.53960, 14.64407
10.54790, 12.50275
10.55630, 19.33972
10.56460, 20.15588
10.57300, 36.28156
10.58130, 8.026703
10.58970, 15.00238
10.59810, 12.32062
10.60640, 18.17511
10.61480, 8.339325
10.62310, 28.52301
10.63150, 16.93616
10.63980, 14.84885
10.64820, 11.38760
10.65660, 12.38943
10.66490, 18.43088
10.67330, 25.83401
10.68160, 9.380188
10.69000, 12.73657
10.69830, 1.177094
10.70670, 10.47748
10.71500, 10.31161
10.72340, 15.38196
10.73180, 9.028473
10.74010, 32.66177
10.74850, 13.87787
10.75680, 12.15936
10.76520, 3.119690
10.77350, 34.29846
10.78190, 2.507172
10.79020, 24.44794
10.79860, 9.552673
10.80700, 20.61682
